english,pos,lang1_form,language,candidate_form,similarity,method,sentence_id,sentence_length
and,CONJ,hére,lang4,hérì,0.75,parallel,71,12
this,DT,kogo,lang4,kùgù,0.5,parallel,71,12
very,RB,zúra,lang4,dzúúrã,0.8,parallel,71,12
kind,JJ,sólurulu,lang4,sólúrúlú,1.0,parallel,71,12
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,71,12
this,DT,kogo,lang5,Kogo,1.0,parallel,111,4
classroom,NN,kórumu,lang5,kórumu,1.0,parallel,111,4
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,111,4
many,DT,zéreni,lang5,dngéreni,0.7143,parallel,37,5
student,NN,dóruma,lang5,ngdórumàdórumàgo,0.9032,parallel,37,5
snack,NN,sánomu,lang5,hànomu,0.8333,parallel,37,5
to want,VB,vézimi,lang5,igéngimimi,0.7368,parallel,37,5
many,DT,zéreni,lang2,ngérìní,0.6154,parallel,4,5
student,NN,dóruma,lang2,þàdórúmàdórúmàgùùg,0.7879,parallel,4,5
notebook,NN,nóduru,lang2,nótúrú,1.0,parallel,4,5
to need,VB,dézimi,lang2,ídéngímímí,0.8421,parallel,4,5
computer,NN,kómuru,lang3,Kómṹrúgómṹrú,1.0,parallel,73,6
helpful,JJ,gérimilu,lang3,hólúrúlú,1.0,parallel,73,6
tool,NN,tógoru,lang3,tógorú,1.0,parallel,73,6
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,73,6
friend,NN,géri,lang6,þagérigéri,0.8889,parallel,103,10
together,RB,tírimi,lang6,tírimĩ,1.0,parallel,103,10
karaoke,NN,kánara,lang6,kanãralu,1.0,parallel,103,10
to go,VB,bóromu,lang6,þabóromũmũ,0.8889,parallel,103,10
this,DT,kogo,lang6,kogo,1.0,parallel,103,10
laptop,NN,míniri,lang6,Mĩ́nĩrige,1.0,parallel,24,6
to use,VB,tórumu,lang6,idórumũmũ,1.0,parallel,24,6
bed,NN,súmuru,lang6,súmũrunũ,1.0,parallel,24,6
to charge,VB,lúzumu,lang6,lúzumũmũ,1.0,parallel,24,6
student,NN,dóruma,lang3,Þàdrúmã̀drúmã̀gook,0.8387,parallel,87,8
free,JJ,múranulu,lang3,mṹṹrànṹlú,0.9412,parallel,87,8
event,NN,fóruma,lang3,fórúmã̀vórúmã̀lú,1.0,parallel,87,8
to go,VB,bóromu,lang3,þàbóromṹmṹ,0.8889,parallel,87,8
cherry,NN,sakúra,lang3,Sàgúúrãã,0.8571,parallel,26,6
flower,NN,kírimi,lang3,kíírímĩ́gíírímĩ,0.9231,parallel,26,6
beautiful,JJ,lúmuralu,lang3,lúúmṹràlú,0.9412,parallel,26,6
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,26,6
quick,JJ,fúdurulu,lang4,Fúúdúrúlú,0.9412,parallel,24,6
brown,JJ,bórunulu,lang4,ðbórúnṹlú,0.9412,parallel,24,6
fox,NN,vúlumu,lang4,bvúúlúmṹgùùng,0.6364,parallel,24,6
lazy,JJ,nólumulu,lang4,nṍlúmṹlú,1.0,parallel,24,6
dog,NN,bárumu,lang4,ðbàrúmṹgù,0.8235,parallel,24,6
to jump,VB,púrumu,lang4,àvúúrúmṹvàrúmṹmṹ,0.9032,parallel,24,6
class,NN,déni,lang4,ðdénĩ́dénĩ́lí,0.9524,parallel,58,8
many,DT,zéreni,lang2,ngérìní,0.6154,parallel,103,6
student,NN,dóruma,lang2,þàdórúmàdórúmàgùùg,0.7879,parallel,103,6
class,NN,déni,lang2,þàdénídénílí,0.9091,parallel,103,6
to end,VB,nérimi,lang2,nérímíqgì,0.8235,parallel,103,6
to celebrate,VB,férimi,lang2,ígérímíqgìmì,0.6957,parallel,103,6
spring,NN,vóruma,lang4,bvórúmã̀nṹ,0.9412,parallel,91,4
beautiful,JJ,lúmuralu,lang4,lúúmṹràlú,0.9412,parallel,91,4
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,91,4
final,JJ,nérimili,lang4,nẽ́rímĩ́lí,1.0,parallel,92,7
project,VB,gérimi,lang4,tàgérìnĩ,0.5714,parallel,92,7
to create,VB,góruamu,lang4,úgórúwàmṹgùmũ,0.8,parallel,92,7
student,NN,dóruma,lang4,Ðdórúmã̀dórúmã̀gùùng,0.7879,parallel,40,8
week,NN,zómuru,lang4,dzómṹrúgùlú,0.8571,parallel,40,8
quiz,NN,tórunu,lang4,tórúnṹdórúnṹ,1.0,parallel,40,8
to be surprised,VB,vóruza,lang4,ízàmĩ́nĩ,0.8571,parallel,40,8
grateful,JJ,górumula,lang4,ðgórúmṹlã,0.9412,parallel,40,8
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,40,8
this,DT,kogo,lang7,Kùgù,0.5,parallel,62,4
library,NN,pánuru,lang7,pònṹrú,0.8333,parallel,62,4
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,62,4
many,DT,zéreni,lang3,tàzérenĩ,0.8571,parallel,67,5
student,NN,dóruma,lang3,þàdrúmã̀drúmã̀gook,0.8387,parallel,67,5
dictionary,NN,móluru,lang3,mṍlúrú,1.0,parallel,67,5
to need,VB,dézimi,lang3,ídézímĩ́mĩ,1.0,parallel,67,5
friend,NN,géri,lang7,nggérígérí,0.8889,parallel,11,11
together,RB,tírimi,lang7,tíírímĩ,0.9231,parallel,11,11
library,NN,pánuru,lang7,pònṹrúlú,0.875,parallel,11,11
to go,VB,bóromu,lang7,ngbórùmṹmṹ,0.7778,parallel,11,11
this,DT,kogo,lang7,kùgù,0.5,parallel,11,11
poem,NN,rélama,lang7,rélúmṹ,1.0,parallel,11,11
if,CONJ,héré,lang7,Héré,1.0,parallel,104,8
to help,VB,gérimi,lang7,ègérímĩ́mĩ,0.8889,parallel,104,8
this,DT,kogo,lang7,kùgù,0.5,parallel,104,8
class,NN,déni,lang7,ngdénĩ,0.8,parallel,104,8
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,104,8
offer,NN,bórumu,lang4,ðbórúmṹ,0.9231,parallel,77,7
to create,VB,góruamu,lang4,àgórúwàmṹzúzúmṹ,0.9655,parallel,77,7
and,CONJ,hére,lang4,hérì,0.75,parallel,77,7
to refuse,VB,názimi,lang4,ínã̀zímĩ́nĩ,0.8889,parallel,77,7
what,WH,lízera,lang2,xélírí,0.5,parallel,100,8
to speak,VB,tálimi,lang2,í-tàlímí-mí,1.0,parallel,100,8
true,JJ,xéliri,lang2,xélírí,1.0,parallel,100,8
to be surprised,VB,vóruza,lang2,í-hàmí-mí,0.8889,parallel,100,8
museum,NN,donubánu,lang2,þàdùnúbànúlú,0.8182,parallel,17,4
to be surprised,VB,vóruza,lang2,íngàmímí,0.8,parallel,17,4
eye,NN,múru,lang4,mṹṹrúmṹṹrú,0.8889,parallel,16,9
lifeless,JJ,múranulu,lang4,mṹṹrànṹlú,0.9412,parallel,16,9
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,16,9
black,JJ,bóhrunu,lang4,ðbóħrúnṹ,0.9333,parallel,16,9
eye,NN,múru,lang4,mṹṹrúmṹṹrú,0.8889,parallel,16,9
doll,NN,sóluma,lang4,sólúmã,1.0,parallel,16,9
eye,NN,múru,lang4,mṹṹrúnṹ,0.9231,parallel,16,9
like,ADP,tírimi,lang4,tíírímĩ,0.9231,parallel,16,9
now,RB,hére,lang7,hérìgì,0.6667,parallel,9,3
to be surprised,VB,vóruza,lang7,íngèmĩ́gì,0.5333,parallel,9,3
frankly,RB,xérali,lang5,Xéràli,1.0,parallel,105,6
beloved,NN,férigéri,lang5,kériqgéri,0.8235,parallel,105,6
damn,NN,kérim,lang5,qérimne,0.8571,parallel,105,6
to give,VB,tórumu,lang5,udórumunomu,1.0,parallel,105,6
stuff,NN,spórum,lang2,hpórúmú,0.8571,parallel,74,7
to blow,VB,périmi,lang2,íbérímídérímímí,1.0,parallel,74,7
and,CONJ,hére,lang2,hérì,0.75,parallel,74,7
home,NN,súmura,lang2,húúmúràlú,0.8235,parallel,74,7
to go,VB,bóromu,lang2,þàbórùmúmú,0.7778,parallel,74,7
to look,VB,vérima,lang3,ívérímã̀mĩ,1.0,parallel,39,5
life,NN,múranu,lang2,Sélímí,1.0,parallel,81,4
to see,VB,vérima,lang2,ígérídérímímí,0.9231,parallel,81,4
scholar,NN,zúradóruma,lang3,tàzúúràdrúmã̀zúràdrúmã̀gook,0.875,parallel,43,13
or,CONJ,hére,lang3,hére,1.0,parallel,43,13
very,RB,zúra,lang3,tàzúúrãã,0.6667,parallel,43,13
to need,VB,dézimi,lang3,ídézímĩ́mĩ,1.0,parallel,43,13
to stop,VB,nérimi,lang3,nẽ́rímĩ,1.0,parallel,43,13
if,CONJ,héré,lang3,hére,1.0,parallel,43,13
should,MD,dézimi,lang3,ídézímĩ́mĩ,1.0,parallel,43,13
vestal,NN,nérimidérima,lang7,Nẽ́rímĩ́dérímẽ̀ngè,0.8148,parallel,54,10
pure,JJ,múranuzómut,lang7,mṹṹrònṹngómṹdù,0.6923,parallel,54,10
world,NN,mógo,lang7,mṍgùngólúmṹ,0.7619,parallel,54,10
happy,JJ,férimala,lang7,kérímẽ̀lèngè,0.5263,parallel,54,10
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,54,10
world,NN,mógo,lang7,mṍgù,0.75,parallel,54,10
to forget,VB,dólumu,lang7,údólúmṹmṹ,1.0,parallel,54,10
world,NN,mógo,lang7,mṍgùgù,0.6667,parallel,54,10
to forget,VB,dólumu,lang7,údólúmṹmṹ,0.8889,parallel,54,10
while,IN,hére,lang5,Hére,1.0,parallel,32,8
friend,NN,géri,lang5,ngqgériqgéri,0.8,parallel,32,8
karaoke,NN,kánara,lang5,kànàràlu,1.0,parallel,32,8
to go,VB,bóromu,lang5,ngbóromumu,0.8889,parallel,32,8
library,NN,pánuru,lang5,pànurunu,1.0,parallel,32,8
to read,VB,elirízimi,lang5,ieliríngimimi,0.88,parallel,32,8
class,NN,déni,lang3,þàdénĩ́dénĩ,0.8889,parallel,105,11
to finish,VB,dérimi,lang3,ídérímĩ́mĩ,1.0,parallel,105,11
proud,JJ,xórughuralu,lang3,xórúghúràlú,1.0,parallel,105,11
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,105,11
to sleep,VB,órumo,lang3,órúmõ,1.0,parallel,105,11
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,105,11
rain,NN,shíynimi,lang3,íjííynĩ́mĩ,0.9412,parallel,77,7
bed,NN,súmuru,lang3,súúmṹrúnṹ,0.9412,parallel,77,7
to sleep,VB,órumo,lang3,àóromõmṹ,1.0,parallel,77,7
black,JJ,bóhrunu,lang3,Þàbóhrúnṹ,0.875,parallel,30,7
man,NN,háruma,lang3,hàrúmã̀go,1.0,parallel,30,7
desert,NN,xóronuzám,lang3,xóronṹzàmlú,1.0,parallel,30,7
quick,JJ,fúdurulu,lang3,fúdúbóromṹmṹ,1.0,parallel,30,7
and,CONJ,hére,lang3,hére,1.0,parallel,30,7
to hit,VB,tórumo,lang3,trúmõdrúmã̀go,0.9231,parallel,30,7
to go,VB,bóromu,lang3,àbóromṹmṹ,1.0,parallel,30,7
happy,JJ,férimala,lang7,kérímẽ̀lèngè,0.5263,parallel,31,13
family,NN,núma,lang7,nṹṹmõ̀gòòg,0.75,parallel,31,13
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,31,13
unhappy,JJ,férine,lang7,kérínĩ,0.6667,parallel,31,13
family,NN,núma,lang7,nṹṹmõ̀ngò,0.5,parallel,31,13
unhappy,JJ,férine,lang7,kérínĩ,0.6667,parallel,31,13
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,31,13
day,NN,sélimi,lang2,Pùngélímí,0.7059,parallel,104,4
class,NN,déni,lang2,þàdénídénílí,0.9091,parallel,104,4
to remain,VB,séradi,lang2,héràdímí,0.875,parallel,104,4
program,NN,dóruva,lang5,ngdóruva,0.8571,parallel,99,4
soon,RB,márali,lang5,màràli,1.0,parallel,99,4
to end,VB,nérimi,lang5,unórumugomo,1.0,parallel,99,4
while,IN,hére,lang3,Hére,1.0,parallel,51,10
this,DT,kogo,lang3,kege,1.0,parallel,51,10
program,NN,dóruva,lang3,þàdrúvànṹ,0.8235,parallel,51,10
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,51,10
linguistics,NN,líneni,lang3,líínẽnĩ́lí,0.9412,parallel,51,10
also,CONJ,tírimi,lang3,tíírímĩ,0.9231,parallel,51,10
computer,NN,kómuru,lang3,kómṹrúlú,1.0,parallel,51,10
to learn,VB,sérimi,lang3,ízérímĩ́mĩ,1.0,parallel,51,10
program,NN,dóruva,lang4,ðdórúvã,0.9231,parallel,47,11
to end,VB,nérimi,lang4,únṍrúmṹgùmũ,0.8182,parallel,47,11
future,NN,nérivári,lang4,nẽ́rígàrínĩ,0.9,parallel,47,11
program,NN,dóruva,lang4,ðdérígàlí,0.8235,parallel,47,11
to use,VB,tórumu,lang4,údórúmṹmṹ,1.0,parallel,47,11
to want,VB,vézimi,lang4,ígézímĩ́mĩ,0.8889,parallel,47,11
always,RB,zérani,lang6,dzéranĩ,0.9231,parallel,113,11
to help,VB,gérimi,lang6,agérimĩmĩ,1.0,parallel,113,11
and,CONJ,hére,lang6,hére,1.0,parallel,113,11
this,DT,kogo,lang6,kogo,1.0,parallel,113,11
very,RB,zúra,lang6,dzúrã,0.8889,parallel,113,11
kind,JJ,sólurulu,lang6,sólurulu,1.0,parallel,113,11
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,113,11
video,NN,tóralu,lang7,tóròlú,0.8333,parallel,24,12
to see,VB,vérima,lang7,ívérímẽ̀mĩ,0.8889,parallel,24,12
happy,JJ,férimala,lang7,kérímẽ̀lèngè,0.5263,parallel,24,12
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,24,12
this,DT,kogo,lang7,Kùgù,0.5,parallel,17,4
market,NN,márunu,lang7,mõ̀rúnṹ,0.8333,parallel,17,4
new,JJ,nérili,lang7,nẽ́rílí,1.0,parallel,17,4
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,17,4
friend,NN,géri,lang6,þagérigéri,0.8889,parallel,65,10
together,RB,tírimi,lang6,tírimĩ,1.0,parallel,65,10
market,NN,márunu,lang6,mãrunũlu,1.0,parallel,65,10
to go,VB,bóromu,lang6,þabóromũmũ,0.8889,parallel,65,10
tea,NN,téziri,lang6,téziri,1.0,parallel,65,10
rain,NN,shíynimi,lang5,ishíynimi,1.0,parallel,114,5
river,NN,zárunu,lang5,dngàrunu,0.7143,parallel,114,5
to flow,VB,mézimi,lang5,iméngimimi,0.8421,parallel,114,5
student,NN,dóruma,lang7,ngdórúmõ̀dórúmõ̀gòòg,0.7879,parallel,37,4
letter,NN,rázumu,lang7,ròngúmṹ,0.6154,parallel,37,4
to read,VB,elirízimi,lang7,íìlírííngímĩ́mĩ,0.7692,parallel,37,4
bridge,NN,báluru,lang3,Þàbàlúrúgo,0.8889,parallel,92,4
river,NN,zárunu,lang3,tàzàrúnṹnṹ,0.8889,parallel,92,4
beautiful,JJ,lúmuralu,lang3,lúúmṹràlú,0.9412,parallel,92,4
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,92,4
bicycle,NN,pórunu,lang4,pórúnṹgù,0.875,parallel,73,8
to repair,VB,kázumu,lang4,úkàzúmṹmṹ,1.0,parallel,73,8
library,NN,pánuru,lang4,pànṹrúlú,1.0,parallel,73,8
to go,VB,bóromu,lang4,ðbórùmṹmṹ,0.8235,parallel,73,8
day,NN,sélimi,lang3,sélímĩ,1.0,parallel,18,9
bright,"(ie, happy light)",férimili,lang3,férímĩ́lí,1.0,parallel,18,9
cold,JJ,ħórumu,lang3,tàħórúmṹ,0.8571,parallel,18,9
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,18,9
and,CONJ,hére,lang3,hére,1.0,parallel,18,9
clock,NN,sólunudógoru,lang3,sólúnṹdógorúzólúnṹdógorúgook,0.9818,parallel,18,9
thirteen,CARD,hálu,lang3,hàlú,1.0,parallel,18,9
to hit,VB,tórumo,lang3,údrúmṹmmõ,0.9474,parallel,18,9
library,NN,pánuru,lang7,pònṹrúnṹ,0.875,parallel,110,9
computer,NN,kómuru,lang7,kómṹrú,1.0,parallel,110,9
to play,VB,pálumu,lang7,úbòlúmṹmṹ,0.8889,parallel,110,9
and,CONJ,hére,lang7,hérì,0.75,parallel,110,9
happy,JJ,férimala,lang7,kérímẽ̀lèngè,0.5263,parallel,110,9
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,110,9
many,DT,zéreni,lang3,tàzérenĩ,0.8571,parallel,102,10
student,NN,dóruma,lang3,þàdrúmã̀drúmã̀gook,0.8387,parallel,102,10
school,NN,dénimi,lang3,þàdénĩ́mĩ́nĩ,0.8889,parallel,102,10
quiz,NN,tórunu,lang3,trúnṹdrúnṹ,0.9091,parallel,102,10
to review,VB,périmi,lang3,íbérímĩ́mĩ,1.0,parallel,102,10
and,CONJ,hére,lang3,hére,1.0,parallel,102,10
efficient,JJ,hélirili,lang3,hélúrúlú,1.0,parallel,102,10
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,102,10
President,NNP,máguzúra,lang3,mã̀gúzúúràgo,0.9524,parallel,16,9
museum,NN,donubánu,lang3,þàdonṹbànṹnṹ,0.9091,parallel,16,9
to sit,VB,sólumu,lang3,úzólúmṹmṹ,1.0,parallel,16,9
many,DT,zéreni,lang3,tàzérenĩ,0.8571,parallel,16,9
person,NN,náruma,lang3,nã̀rúmã̀nã̀rúmã̀gook,0.9677,parallel,16,9
President,NNP,máguzúra,lang3,mã̀gúzúúràgo,0.9524,parallel,16,9
to see,VB,vérima,lang3,àvérímã̀mĩ,1.0,parallel,16,9
person,NN,náruma,lang2,Nàrúmànàrúmàgùùg,0.8387,parallel,14,11
coffee,NN,kávuru,lang2,kàvúrú,1.0,parallel,14,11
and,CONJ,hére,lang2,hérì,0.75,parallel,14,11
tea,NN,téziri,lang2,téngírí,0.7692,parallel,14,11
always,RB,zérani,lang2,ngéràní,0.7692,parallel,14,11
to drink,VB,nízimi,lang2,ínííngímímí,0.8,parallel,14,11
and,CONJ,hére,lang2,hérì,0.75,parallel,14,11
to sleep,VB,órumo,lang2,àórúmúmú,1.0,parallel,14,11
program,NN,dóruva,lang7,ngdórúvòngò,0.5882,parallel,46,11
to end,VB,nérimi,lang7,únṍrúmṹgùmũ,0.8182,parallel,46,11
student,NN,dóruma,lang7,ngdórúmõ̀dórúmõ̀gòòg,0.7879,parallel,46,11
future,NN,nérivári,lang7,nẽ́rívèrínĩ,0.9,parallel,46,11
to find,VB,kélimi,lang7,ígélímĩ́gìmĩ,0.8182,parallel,46,11
to want,VB,vézimi,lang7,ívéngímĩ́mĩ,0.8421,parallel,46,11
final,JJ,nérimili,lang4,nẽ́rímĩ́lí,1.0,parallel,60,10
project,VB,gérimi,lang4,tàgérìnĩ,0.5714,parallel,60,10
new,JJ,nérili,lang4,nẽ́rílí,1.0,parallel,60,10
to create,VB,góruamu,lang4,úgórúwàmṹgùmũ,0.8,parallel,60,10
to want,VB,vézimi,lang4,ígézímĩ́mĩ,0.8889,parallel,60,10
this,DT,kogo,lang5,Keqge,0.8889,parallel,93,8
program,NN,dóruva,lang5,ngdóruvànu,0.8889,parallel,93,8
computer,NN,kómuru,lang5,kómurugómuru,1.0,parallel,93,8
helpful,JJ,gérimilu,lang5,hólurulu,1.0,parallel,93,8
tool,NN,tógoru,lang5,tógoru,1.0,parallel,93,8
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,93,8
if,CONJ,héré,lang7,Héré,1.0,parallel,18,10
together,RB,tírimi,lang7,tíírímĩ,0.9231,parallel,18,10
to help,VB,gérimi,lang7,ègérímĩ́mĩ,0.8889,parallel,18,10
final,JJ,nérimili,lang7,nẽ́rímĩ́lí,1.0,parallel,18,10
project,VB,gérimi,lang7,vvérìnĩ,0.7692,parallel,18,10
window,NN,vólumu,lang7,vvólúmṹnṹ,0.9412,parallel,84,4
snow,NN,súnaru,lang7,húúnõ̀rú,0.6154,parallel,84,4
to see,VB,vérima,lang7,ívérímẽ̀mĩ,0.8889,parallel,84,4
bicycle,NN,pórunu,lang3,pórúnṹgo,1.0,parallel,91,8
to repair,VB,kázumu,lang3,úgàzúmṹmṹ,1.0,parallel,91,8
road,NN,márugu,lang3,mã̀rúgúlú,1.0,parallel,91,8
to go,VB,bóromu,lang3,þàbóromṹmṹ,0.8889,parallel,91,8
library,NN,pánuru,lang6,panũrunũ,1.0,parallel,116,5
lamp,NN,dórunu,lang6,þadórunũ,0.8571,parallel,116,5
beautiful,JJ,lúmuralu,lang6,lúmũralu,1.0,parallel,116,5
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,116,5
if,CONJ,héré,lang4,Héré,1.0,parallel,43,7
to help,VB,gérimi,lang4,àqgérímĩ́mĩ,0.9474,parallel,43,7
music,NN,límeri,lang4,líímĩ̀rí,0.7692,parallel,43,7
lamp,NN,dórunu,lang6,þadórunũnũ,0.8889,parallel,39,6
to sleep,VB,órumo,lang6,aórumõmũ,1.0,parallel,39,6
small,JJ,póluru,lang4,Pólúrúlã,1.0,parallel,72,4
bird,NN,túrumu,lang4,túúrúmṹgù,0.8235,parallel,72,4
sky,NN,féliri,lang4,félírínĩ,1.0,parallel,72,4
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,72,4
always,RB,zérani,lang7,ngérènĩ,0.6154,parallel,73,5
stranger,NN,pórumu,lang7,pórúmṹbórúmṹ,1.0,parallel,73,5
kindness,NN,sórulu,lang7,hórúlúnṹ,0.875,parallel,73,5
to depend,VB,zórumu,lang7,úngórúmṹmṹ,0.8421,parallel,73,5
if,CONJ,héré,lang7,Héré,1.0,parallel,74,7
spring,NN,vóruma,lang7,vvórúmõ̀nṹ,0.8235,parallel,74,7
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ,0.6667,parallel,74,7
to go,VB,bóromu,lang7,ngbórùmṹgùmũ,0.6364,parallel,74,7
to want,VB,vézimi,lang7,ívéngímĩ́mĩ,0.8421,parallel,74,7
friend,NN,géri,lang5,ngqgérie,0.7692,parallel,48,9
poem,NN,rélama,lang5,rélàmàqgà,0.8,parallel,48,9
to write,NN,nárumu,lang5,inàrumimi,1.0,parallel,48,9
student,NN,dóruma,lang5,ngdórumàdórumàgo,0.9032,parallel,48,9
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,48,9
day,NN,sélimi,lang3,Sélímĩ,1.0,parallel,50,9
to seize / to grasp,VB,páruma,lang3,úbàrúmã̀mṹ,1.0,parallel,50,9
boy,NN,dóramu,lang3,Þàdràmṹdràmṹ,0.8333,parallel,50,9
day,NN,sélimi,lang3,Sélímĩ,1.0,parallel,50,9
to seize / to grasp,VB,páruma,lang3,úbàrúmã̀mṹ,1.0,parallel,50,9
life,NN,múranu,lang3,mṹṹrànṹmṹṹrànṹ,0.9231,parallel,50,9
extraordinary,JJ,zórazalu,lang3,tàzórúzílú,0.8889,parallel,50,9
to be surprised,VB,vóruza,lang3,ízàmĩ́zímĩ,1.0,parallel,50,9
scholar,NN,zúradóruma,lang3,tàzúúràdrúmã̀go,0.8462,parallel,55,7
always,RB,zérani,lang3,nṍràmãã,0.9231,parallel,55,7
to daydream,VB,sélimivélimi,lang3,ízélímĩ́vélímĩ́mĩ,1.0,parallel,55,7
new,JJ,nérili,lang3,nẽ́rílí,1.0,parallel,55,7
language,NN,lóruma,lang3,lórúmãã,0.9231,parallel,55,7
to create,VB,góruamu,lang3,úgórúàmṹgomõ,1.0,parallel,55,7
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,55,7
if,CONJ,héré,lang6,Héré,1.0,parallel,95,8
scholar,NN,zúradóruma,lang6,dzúradórumãgo,0.96,parallel,95,8
ambition,NN,mégevélami,lang6,mẽ́gevélamĩ,1.0,parallel,95,8
to grow,VB,dárimi,lang6,idarimĩmĩ,1.0,parallel,95,8
